,patent_id,Grant-date,Appli-date,CPC,Inventor,Cited,Citing,year,month,month_year,Qt
5985213,9388430,2016-07-12,2014-06-30,C12N 9/1241 (20130101)+C12N 15/907 (20130101)+C12N 9/22 (20130101)+A61K 38/465 (20130101)+C12N 15/01 (20130101)+C07K 14/315 (20130101)+A61K 47/00 (20130101)+A61K 38/00 (20130101)+C07K 2319/80 (20130101),3.0,118.0,10.0,2014,6,2014-06,2
5988241,9394531,2016-07-19,2009-05-28,C12N 15/907 (20130101)+C12N 9/22 (20130101)+C07K 2319/00 (20130101)+C07K 2319/80 (20130101),1.0,23.0,,2009,5,2009-05,2
5993466,9392777,2016-07-19,2015-06-10,A01K 67/0278 (20130101)+C07K 14/5412 (20130101)+C07K 14/7155 (20130101)+C12N 15/907 (20130101)+A01K 2217/072 (20130101)+A01K 2217/15 (20130101)+A01K 2227/105 (20130101)+A01K 2267/02 (20130101)+C07K 2319/00 (20130101)+A01K 2207/15 (20130101)+A01K 2227/10 (20130101)+A01K 2217/052 (20130101)+A01K 2267/03 (20130101),4.0,1.0,2.0,2015,6,2015-06,2
6007558,9410134,2016-08-09,2012-06-06,A01K 67/0275 (20130101)+C12N 15/62 (20130101)+C12N 15/8509 (20130101)+C12N 9/22 (20130101)+C12Y 301/21004 (20130101)+C12N 15/907 (20130101)+C12N 9/16 (20130101)+C07K 2319/80 (20130101)+A01K 2207/05 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/03 (20130101)+C12N 2999/007 (20130101),1.0,,,2012,6,2012-06,2
6009742,9410163,2016-08-09,2014-12-16,A01K 67/0275 (20130101)+C12Y 207/07 (20130101)+C12N 15/8509 (20130101)+C12N 15/907 (20130101)+C12N 15/873 (20130101)+C12N 15/85 (20130101)+A01K 67/0276 (20130101)+C12N 9/1241 (20130101)+C12N 5/0606 (20130101)+A01K 2217/206 (20130101)+A01K 2227/105 (20130101)+C12N 2800/30 (20130101)+C12N 2840/102 (20130101)+C12N 2800/22 (20130101)+A01K 2217/075 (20130101)+A01K 2267/03 (20130101)+A01K 2217/07 (20130101),4.0,20.0,2.0,2014,12,2014-12,4
6010546,9410198,2016-08-09,2015-06-25,C12Q 1/68 (20130101)+C12Q 1/6818 (20130101)+C12N 15/85 (20130101)+C12N 9/22 (20130101)+C12N 15/52 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101)+C12Q 1/6806 (20130101)+A61K 38/465 (20130101)+A61K 47/48092 (20130101)+C12Q 1/6869 (20130101)+C12N 15/102 (20130101)+C12Q 1/686 (20130101)+C12Q 1/6874 (20130101)+C12N 15/11 (20130101)+C12N 15/902 (20130101)+C12Q 1/6818 (20130101)+C12N 15/113 (20130101)+C12N 2310/533 (20130101)+C12N 2800/80 (20130101)+C12N 2310/531 (20130101)+C12Q 2525/203 (20130101),6.0,118.0,12.0,2015,6,2015-06,2
6021842,9422577,2016-08-23,2014-06-04,C08K 5/5399 (20130101)+C12N 5/0647 (20130101)+C12N 15/87 (20130101)+C12P 21/00 (20130101)+H01L 31/048 (20130101)+C12N 9/16 (20130101)+C12N 15/907 (20130101)+C12N 5/0657 (20130101)+C08K 5/5399 (20130101)+C08L 83/04 (20130101)+C08L 83/04 (20130101)+C08K 5/5399 (20130101)+C12N 2501/26 (20130101)+C08G 77/08 (20130101)+C12N 2501/115 (20130101)+C12N 2501/998 (20130101)+C12N 2800/80 (20130101)+Y02E 10/50 (20130101)+C12Y 301/21 (20130101)+C12N 2501/91 (20130101)+C12N 2501/2303 (20130101)+C12N 2501/165 (20130101)+C12N 2501/155 (20130101)+C12N 2506/09 (20130101)+C12N 2500/44 (20130101)+C12N 2500/25 (20130101),2.0,101.0,,2014,6,2014-06,2
6024153,9422549,2016-08-23,2014-02-26,C12N 15/1058 (20130101)+C12N 15/1093 (20130101)+C07K 16/00 (20130101)+C12N 15/907 (20130101)+C12N 15/1024 (20130101)+C07K 2317/14 (20130101)+C07K 2317/51 (20130101)+C40B 30/04 (20130101)+C40B 50/06 (20130101)+C07K 2317/622 (20130101)+C07K 2317/515 (20130101),2.0,2.0,,2014,2,2014-02,1
6029156,9428754,2016-08-30,2013-07-22,C12N 9/1241 (20130101)+C12N 15/85 (20130101)+C12N 15/902 (20130101)+C12N 15/907 (20130101)+C12N 9/12 (20130101)+C12N 15/52 (20130101)+C12Y 207/07 (20130101)+C12N 2320/33 (20130101),2.0,3.0,1.0,2013,7,2013-07,3
6030527,9428767,2016-08-30,2015-04-09,A61K 31/00 (20130101)+C12Y 207/07 (20130101)+C07K 16/00 (20130101)+C12N 9/1241 (20130101)+C12N 15/85 (20130101)+A61K 31/7105 (20130101)+C07K 14/43586 (20130101)+C07K 14/463 (20130101)+C07K 16/32 (20130101)+C12N 15/907 (20130101)+C07K 2/00 (20130101)+C07K 2319/80 (20130101)+C07K 2317/56 (20130101)+C12N 2830/40 (20130101)+C12N 2800/90 (20130101)+A61K 38/00 (20130101)+C07K 2317/10 (20130101)+C07K 2317/24 (20130101)+C07K 2319/09 (20130101)+C12N 2830/60 (20130101),4.0,12.0,8.0,2015,4,2015-04,2
6037887,9434931,2016-09-06,2015-09-18,C12N 9/22 (20130101)+C12N 15/902 (20130101)+C12N 9/16 (20130101)+C12N 15/907 (20130101)+C12N 15/8509 (20130101)+C12Y 301/04 (20130101)+C12Y 301/00 (20130101)+C12N 2800/80 (20130101),2.0,19.0,,2015,9,2015-09,3
6045693,9447434,2016-09-20,2003-09-05,C12N 9/22 (20130101)+C12N 15/907 (20130101)+A61K 48/00 (20130101)+C07K 2319/00 (20130101)+C07K 2319/09 (20130101)+C07K 2319/43 (20130101)+C07K 2319/81 (20130101)+C12N 2800/80 (20130101)+C12N 2830/00 (20130101)+C12N 2830/15 (20130101)+C12N 2830/48 (20130101)+C12N 2830/60 (20130101)+C12N 2830/90 (20130101)+C12N 2840/203 (20130101),2.0,34.0,,2003,9,2003-09,3
6050866,9447395,2016-09-20,2015-04-30,A61K 31/7115 (20130101)+G01N 33/5014 (20130101)+C07K 14/195 (20130101)+C12N 15/1024 (20130101)+C12Y 301/21004 (20130101)+C12Y 301/00 (20130101)+A61K 48/005 (20130101)+A61K 38/465 (20130101)+A61K 35/14 (20130101)+C12N 15/907 (20130101)+C12N 15/86 (20130101)+C12N 9/22 (20130101)+C07K 2319/80 (20130101)+C12N 2800/80 (20130101)+A61K 2035/124 (20130101),2.0,101.0,7.0,2015,4,2015-04,2
6058898,9458205,2016-10-04,2012-11-16,C07K 14/195 (20130101)+C12N 15/902 (20130101)+C12N 9/22 (20130101)+C12N 9/1007 (20130101)+C12N 5/0602 (20130101)+C12N 5/04 (20130101)+C12N 1/16 (20130101)+C12P 19/34 (20130101)+C12N 15/907 (20130101)+C12Y 301/21004 (20130101)+C12N 15/63 (20130101)+C07K 2319/80 (20130101),7.0,60.0,2.0,2012,11,2012-11,4
6062347,9458439,2016-10-04,2014-11-21,C12N 9/22 (20130101)+C12N 15/907 (20130101)+C12N 15/902 (20130101)+A61K 48/00 (20130101)+C07K 2319/00 (20130101)+C12N 2800/80 (20130101)+C07K 2319/03 (20130101),2.0,10.0,10.0,2014,11,2014-11,4
6069576,9462794,2016-10-11,2015-10-14,A01K 67/0278 (20130101)+G01N 33/5011 (20130101)+C12N 15/8509 (20130101)+A61K 49/0008 (20130101)+C12N 15/89 (20130101)+C12N 9/16 (20130101)+C07K 14/70596 (20130101)+G01N 33/5088 (20130101)+C07K 16/2887 (20130101)+C07K 16/2809 (20130101)+C12N 15/907 (20130101)+C12N 2015/8518 (20130101)+C12N 2015/8572 (20130101)+G01N 2500/10 (20130101)+A01K 2267/0331 (20130101)+A01K 2217/05 (20130101)+A01K 2217/052 (20130101)+A01K 2217/054 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+C12Y 301/03048 (20130101)+C07K 14/70503 (20130101)+C12N 15/902 (20130101)+A01K 2207/15 (20130101)+A01K 2217/072 (20130101)+A01K 2267/0381 (20130101)+A01K 2267/0387 (20130101)+C07K 2319/00 (20130101)+C12N 2800/30 (20130101)+A01K 2207/12 (20130101)+C12N 2015/8527 (20130101)+A01K 2227/10 (20130101)+C07K 2317/31 (20130101)+G01N 2500/04 (20130101),4.0,4.0,11.0,2015,10,2015-10,4
6069993,9464285,2016-10-11,2016-05-17,A61K 31/7115 (20130101)+C12N 9/22 (20130101)+C07K 14/195 (20130101)+C12N 15/1024 (20130101)+C12Y 301/21004 (20130101)+C12Y 301/00 (20130101)+A61K 48/005 (20130101)+A61K 38/465 (20130101)+A61K 35/14 (20130101)+C12N 15/907 (20130101)+C12N 15/86 (20130101)+G01N 33/5014 (20130101)+C07K 2319/80 (20130101)+C12N 2800/80 (20130101)+A61K 2035/124 (20130101),2.0,102.0,7.0,2016,5,2016-05,2
6081443,9476065,2016-10-25,2014-12-19,C12N 9/22 (20130101)+C12N 15/907 (20130101)+C12N 15/111 (20130101)+C12N 15/902 (20130101)+C12Q 1/6897 (20130101)+C12N 2310/10 (20130101),4.0,2.0,,2014,12,2014-12,4
6083904,9481892,2016-11-01,2008-10-30,C12N 15/85 (20130101)+C12N 15/907 (20130101)+C12N 15/8509 (20130101)+C12N 15/90 (20130101)+C12N 2800/90 (20130101)+C12N 2830/001 (20130101)+C12N 2830/003 (20130101)+C12N 2800/108 (20130101)+C12N 2800/24 (20130101),2.0,2.0,,2008,10,2008-10,4
6088319,9481896,2016-11-01,2015-05-20,C07K 14/4702 (20130101)+C12N 5/0606 (20130101)+C12N 15/907 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+C12N 2510/00 (20130101)+C12N 2800/30 (20130101)+C12N 2840/44 (20130101),5.0,5.0,,2015,5,2015-05,2
6095132,9487802,2016-11-08,2015-07-02,C12N 15/86 (20130101)+C12N 9/16 (20130101)+C12N 15/1133 (20130101)+C12N 9/22 (20130101)+C12N 15/907 (20130101)+C12N 2810/60 (20130101)+C12Y 301/00 (20130101)+C12N 2310/10 (20130101)+C12N 2330/51 (20130101)+A61K 38/00 (20130101),2.0,58.0,2.0,2015,7,2015-07,3
6095943,9487768,2016-11-08,2016-05-17,A61K 31/7115 (20130101)+C12N 9/22 (20130101)+C07K 14/195 (20130101)+C12N 15/1024 (20130101)+C12Y 301/21004 (20130101)+C12Y 301/00 (20130101)+A61K 48/005 (20130101)+A61K 38/465 (20130101)+A61K 35/14 (20130101)+C12N 15/907 (20130101)+C12N 15/86 (20130101)+G01N 33/5014 (20130101)+C07K 2319/80 (20130101)+C12N 2800/80 (20130101)+A61K 2035/124 (20130101),2.0,102.0,7.0,2016,5,2016-05,2
6097512,9493827,2016-11-15,2011-01-13,C12Q 1/6827 (20130101)+C12Q 1/6858 (20130101)+C12Q 1/70 (20130101)+C12Q 1/6827 (20130101)+C12Q 1/6858 (20130101)+C12Q 1/686 (20130101)+C12N 15/907 (20130101)+C12Q 2521/301 (20130101)+C12Q 2521/301 (20130101)+C12N 2740/15021 (20130101)+C12N 2740/15045 (20130101)+C12N 2740/15031 (20130101),7.0,5.0,,2011,1,2011-01,1
6098704,9493750,2016-11-15,2013-10-28,C12N 15/62 (20130101)+C12N 9/22 (20130101)+C12N 15/52 (20130101)+C12N 15/85 (20130101)+C07K 14/195 (20130101)+C12N 15/8213 (20130101)+C12N 15/907 (20130101)+C12Y 301/21004 (20130101)+A61K 38/00 (20130101)+C07K 2319/80 (20130101),7.0,109.0,,2013,10,2013-10,4
6106444,9499597,2016-11-22,2014-07-29,C12N 15/907 (20130101)+C07K 14/4703 (20130101)+A61K 38/1709 (20130101)+C07K 2319/00 (20130101)+C07K 2319/70 (20130101)+C07K 2319/71 (20130101)+C07K 2319/81 (20130101),3.0,56.0,,2014,7,2014-07,3
6118037,9512444,2016-12-06,2011-07-22,C12N 15/85 (20130101)+C12N 9/22 (20130101)+C12N 15/907 (20130101),3.0,59.0,1.0,2011,7,2011-07,3
6122906,9512446,2016-12-06,2016-02-04,C12N 15/902 (20130101)+C12N 9/16 (20130101)+C12N 15/907 (20130101)+C12N 9/22 (20130101)+C12N 15/90 (20130101)+C12Y 301/00 (20130101),3.0,156.0,8.0,2016,2,2016-02,1
6135570,9528136,2016-12-27,2013-09-25,A01K 67/0275 (20130101)+C07K 16/00 (20130101)+C12N 15/902 (20130101)+C12N 15/907 (20130101)+C12N 15/67 (20130101)+C07K 16/462 (20130101)+C12N 15/85 (20130101)+C12P 21/00 (20130101)+C12N 15/8509 (20130101)+C07K 16/28 (20130101)+A01K 67/0278 (20130101)+C07K 2317/515 (20130101)+A01K 2227/105 (20130101)+C07K 2317/56 (20130101)+C12N 2800/204 (20130101)+C07K 2317/21 (20130101)+C07K 2317/10 (20130101)+A01K 2267/01 (20130101)+A01K 2207/15 (20130101)+C07K 2317/51 (20130101)+C07K 2317/24 (20130101)+A01K 2217/05 (20130101),7.0,53.0,,2013,9,2013-09,3
6136501,9528124,2016-12-27,2014-04-28,C12N 15/907 (20130101)+A01K 67/0275 (20130101)+C07K 14/47 (20130101)+C07K 14/715 (20130101)+C12N 15/8509 (20130101)+C12N 15/85 (20130101)+C12N 15/8778 (20130101)+C12N 15/8771 (20130101)+C12N 2750/14143 (20130101)+C12N 2800/30 (20130101)+C12N 2800/90 (20130101),2.0,52.0,1.0,2014,4,2014-04,2
6145607,9534234,2017-01-03,2015-04-09,A61K 31/00 (20130101)+C07K 16/00 (20130101)+C12N 9/1241 (20130101)+C12N 15/85 (20130101)+A61K 31/7105 (20130101)+C07K 14/43586 (20130101)+C07K 14/463 (20130101)+C07K 16/32 (20130101)+C12N 15/907 (20130101)+C07K 2/00 (20130101)+C12Y 207/07 (20130101)+C12N 2830/60 (20130101)+C07K 2319/80 (20130101)+C07K 2317/56 (20130101)+C12N 2830/40 (20130101)+C12N 2800/90 (20130101)+A61K 38/00 (20130101)+C07K 2317/10 (20130101)+C07K 2317/24 (20130101)+C07K 2319/09 (20130101),4.0,14.0,7.0,2015,4,2015-04,2
6148757,9540657,2017-01-10,2013-05-24,C12N 15/85 (20130101)+C12N 15/86 (20130101)+G01N 33/582 (20130101)+G01N 33/68 (20130101)+C12N 15/907 (20130101)+C07K 2319/00 (20130101)+C12N 2740/15043 (20130101),3.0,6.0,,2013,5,2013-05,2
6155114,9546382,2017-01-17,2013-02-22,A61K 48/0008 (20130101)+C12N 9/22 (20130101)+A61D 19/04 (20130101)+C12N 15/8509 (20130101)+C12N 2799/027 (20130101)+C12N 2800/90 (20130101)+A01K 67/0333 (20130101)+A01K 67/0275 (20130101)+A01K 2227/00 (20130101)+C12N 15/907 (20130101),2.0,4.0,3.0,2013,2,2013-02,1
6157065,9546384,2017-01-17,2014-10-15,C12N 15/907 (20130101)+C12N 15/8509 (20130101)+C12N 9/22 (20130101)+C12N 15/85 (20130101)+A01K 67/0276 (20130101)+A01K 67/0278 (20130101)+C12N 15/1024 (20130101)+C12N 2015/8527 (20130101)+C12N 2810/00 (20130101)+A01K 2217/072 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/0362 (20130101)+A01K 2267/0387 (20130101)+C12N 2800/40 (20130101)+C12N 2810/10 (20130101)+C12N 2999/007 (20130101)+C12N 2810/40 (20130101),5.0,107.0,2.0,2014,10,2014-10,4
6177596,9567573,2017-02-14,2011-04-25,C12N 9/22 (20130101)+A01K 67/0275 (20130101)+C12N 15/102 (20130101)+C12N 15/907 (20130101)+A61K 38/00 (20130101)+C07K 2319/81 (20130101)+A01K 2207/05 (20130101)+A01K 2217/07 (20130101)+A01K 2227/105 (20130101)+A01K 2267/03 (20130101),2.0,45.0,,2011,4,2011-04,2
6180587,9567609,2017-02-14,2014-08-28,C12N 15/907 (20130101)+C12N 9/22 (20130101)+C12N 15/01 (20130101)+C07K 2319/81 (20130101),2.0,68.0,2.0,2014,8,2014-08,3
6190782,9574209,2017-02-21,2016-08-02,A61K 31/00 (20130101)+C07K 16/00 (20130101)+C12N 9/1241 (20130101)+C12N 15/85 (20130101)+A61K 31/7105 (20130101)+C07K 14/43586 (20130101)+C07K 14/463 (20130101)+C07K 16/32 (20130101)+C12N 15/907 (20130101)+C07K 2/00 (20130101)+C12Y 207/07 (20130101)+C12N 2830/60 (20130101)+C07K 2319/80 (20130101)+C07K 2317/56 (20130101)+C12N 2830/40 (20130101)+C12N 2800/90 (20130101)+A61K 38/00 (20130101)+C07K 2317/10 (20130101)+C07K 2317/24 (20130101)+C07K 2319/09 (20130101),4.0,14.0,6.0,2016,8,2016-08,3
6197917,9580697,2017-02-28,2016-07-28,A61K 31/00 (20130101)+C07K 16/00 (20130101)+C12N 9/1241 (20130101)+C12N 15/85 (20130101)+A61K 31/7105 (20130101)+C07K 14/43586 (20130101)+C07K 14/463 (20130101)+C07K 16/32 (20130101)+C12N 15/907 (20130101)+C07K 2/00 (20130101)+C12Y 207/07 (20130101)+C12N 2830/60 (20130101)+C07K 2319/80 (20130101)+C07K 2317/56 (20130101)+C12N 2830/40 (20130101)+C12N 2800/90 (20130101)+A61K 38/00 (20130101)+C07K 2317/10 (20130101)+C07K 2317/24 (20130101)+C07K 2319/09 (20130101),4.0,14.0,6.0,2016,7,2016-07,3
6202788,9587252,2017-03-07,2015-03-31,C12N 9/22 (20130101)+C12N 15/907 (20130101)+C12N 15/113 (20130101)+C07K 2/00 (20130101)+C12N 15/11 (20130101)+C12N 15/85 (20130101)+C12N 2800/40 (20130101)+C12N 2800/80 (20130101)+C12N 2810/10 (20130101)+C12N 2830/00 (20130101)+C12N 2830/34 (20130101)+C12N 2999/007 (20130101)+C12N 2320/33 (20130101)+C12N 2320/50 (20130101)+C12N 2800/107 (20130101)+C12N 2310/3519 (20130101)+C12Y 301/00 (20130101),3.0,10.0,16.0,2015,3,2015-03,1
6224542,9605277,2017-03-28,2016-07-11,C12N 15/907 (20130101)+C08K 5/5399 (20130101)+C12N 5/0647 (20130101)+C12N 5/0657 (20130101)+C12N 9/16 (20130101)+H01L 31/048 (20130101)+C12N 15/87 (20130101)+C12P 21/00 (20130101)+C08K 5/5399 (20130101)+C08L 83/04 (20130101)+C08L 83/04 (20130101)+C08K 5/5399 (20130101)+C08G 77/08 (20130101)+C12N 2500/25 (20130101)+C12N 2500/44 (20130101)+C12N 2501/115 (20130101)+C12N 2501/155 (20130101)+C12N 2501/165 (20130101)+C12N 2501/2303 (20130101)+C12N 2501/26 (20130101)+C12N 2501/91 (20130101)+C12N 2501/998 (20130101)+C12N 2506/09 (20130101)+C12N 2800/80 (20130101)+C12Y 301/21 (20130101)+Y02E 10/50 (20130101),2.0,102.0,,2016,7,2016-07,3
6224573,9605278,2017-03-28,2016-07-28,C12N 15/907 (20130101)+C08K 5/5399 (20130101)+C12N 5/0647 (20130101)+C12N 5/0657 (20130101)+C12N 9/16 (20130101)+C12N 15/87 (20130101)+C12P 21/00 (20130101)+H01L 31/048 (20130101)+C08K 5/5399 (20130101)+C08L 83/04 (20130101)+C08L 83/04 (20130101)+C08K 5/5399 (20130101)+C08G 77/08 (20130101)+C12N 2500/25 (20130101)+C12N 2500/44 (20130101)+C12N 2501/115 (20130101)+C12N 2501/155 (20130101)+C12N 2501/165 (20130101)+C12N 2501/2303 (20130101)+C12N 2501/26 (20130101)+C12N 2501/91 (20130101)+C12N 2501/998 (20130101)+C12N 2506/09 (20130101)+C12N 2800/80 (20130101)+C12Y 301/21 (20130101)+Y02E 10/50 (20130101),2.0,102.0,,2016,7,2016-07,3
6236604,9616090,2017-04-11,2015-07-30,A61K 35/12 (20130101)+A61K 48/005 (20130101)+C12N 9/22 (20130101)+C12N 15/907 (20130101)+A61K 35/28 (20130101)+A61K 35/545 (20130101),4.0,79.0,3.0,2015,7,2015-07,3
6238155,9617537,2017-04-11,2016-06-30,C12N 15/1058 (20130101)+C07K 16/00 (20130101)+C12N 15/1024 (20130101)+C12N 15/1093 (20130101)+C12N 15/907 (20130101)+C40B 30/04 (20130101)+C40B 50/06 (20130101)+C07K 2317/14 (20130101)+C07K 2317/51 (20130101)+C07K 2317/515 (20130101)+C07K 2317/622 (20130101),2.0,2.0,,2016,6,2016-06,2
6245588,9622460,2017-04-18,2016-06-09,A01K 67/0278 (20130101)+C07K 14/5412 (20130101)+C07K 14/7155 (20130101)+C12N 15/907 (20130101)+A01K 2217/072 (20130101)+A01K 2217/15 (20130101)+A01K 2227/105 (20130101)+A01K 2267/02 (20130101)+C07K 2319/00 (20130101)+A01K 2207/15 (20130101)+A01K 2227/10 (20130101)+A01K 2217/052 (20130101)+A01K 2267/03 (20130101),4.0,4.0,2.0,2016,6,2016-06,2
6251393,9631186,2017-04-25,2015-10-28,C12N 9/22 (20130101)+C12N 15/907 (20130101)+C07K 2319/70 (20130101)+C07K 2319/81 (20130101)+A61K 38/00 (20130101)+C12Y 301/00 (20130101),1.0,44.0,1.0,2015,10,2015-10,4
6255435,9637739,2017-05-02,2013-03-15,C12N 15/113 (20130101)+C12N 9/22 (20130101)+C12N 15/102 (20130101)+C12N 15/902 (20130101)+C12N 15/907 (20130101)+C12P 19/34 (20130101)+C12Q 1/6811 (20130101)+C12Q 1/6811 (20130101)+C12N 2310/10 (20130101)+C12N 2310/12 (20130101)+C12N 2310/14 (20130101)+C12N 2310/3513 (20130101)+C12N 2310/531 (20130101)+C12N 2320/00 (20130101)+C12N 2800/80 (20130101)+C12Q 2521/301 (20130101)+C12Q 2522/101 (20130101)+C12Q 2525/121 (20130101)+C12Q 2525/151 (20130101)+C12Q 2525/301 (20130101),3.0,3.0,20.0,2013,3,2013-03,1
6280648,9657282,2017-05-23,2016-09-20,C12N 9/22 (20130101)+A61K 31/7115 (20130101)+A61K 35/14 (20130101)+A61K 38/465 (20130101)+A61K 48/005 (20130101)+C07K 14/195 (20130101)+C12N 15/1024 (20130101)+C12N 15/86 (20130101)+C12N 15/907 (20130101)+C12Y 301/00 (20130101)+C12Y 301/21004 (20130101)+G01N 33/5014 (20130101)+A61K 2035/124 (20130101)+C07K 2319/80 (20130101)+C12N 2800/80 (20130101),2.0,105.0,,2016,9,2016-09,3
6283434,9663782,2017-05-30,2014-07-19,C12N 15/102 (20130101)+C12N 15/907 (20130101)+C12Y 204/01068 (20130101)+C12Y 302/01018 (20130101),2.0,13.0,2.0,2014,7,2014-07,3
6297302,9677129,2017-06-13,2014-02-28,A01K 67/0275 (20130101)+C12N 15/907 (20130101)+C12N 15/79 (20130101)+C12Q 1/6827 (20130101)+A01K 2217/05 (20130101)+A01K 2227/105 (20130101),5.0,14.0,,2014,2,2014-02,1
6301932,9677086,2017-06-13,2016-07-01,A01K 67/0275 (20130101)+C12N 15/8509 (20130101)+C12N 15/907 (20130101)+C12N 15/873 (20130101)+C12N 15/85 (20130101)+A01K 67/0276 (20130101)+C12N 9/1241 (20130101)+C12N 5/0606 (20130101)+C12Y 207/07 (20130101)+A01K 2217/07 (20130101)+A01K 2217/206 (20130101)+A01K 2227/105 (20130101)+C12N 2800/30 (20130101)+C12N 2840/102 (20130101)+C12N 2800/22 (20130101)+A01K 2217/075 (20130101)+A01K 2267/03 (20130101),4.0,23.0,,2016,7,2016-07,3
6302225,9677090,2017-06-13,2016-10-21,C12N 15/907 (20130101)+C12N 9/96 (20130101)+C12N 9/22 (20130101)+C12N 15/11 (20130101)+C12N 15/113 (20130101)+C12N 15/102 (20130101)+C12N 2310/3513 (20130101)+C12N 2310/531 (20130101)+C12N 2310/3519 (20130101)+C12N 2310/51 (20130101)+C12N 2310/20 (20170501),2.0,33.0,2.0,2016,10,2016-10,4
6329442,9700027,2017-07-11,2016-09-13,A01K 67/0278 (20130101)+G01N 33/5011 (20130101)+C12N 15/8509 (20130101)+A61K 49/0008 (20130101)+C12N 15/89 (20130101)+C12N 9/16 (20130101)+C07K 14/70596 (20130101)+G01N 33/5088 (20130101)+C07K 16/2887 (20130101)+C07K 16/2809 (20130101)+C12N 15/907 (20130101)+G01N 2500/04 (20130101)+C12N 2015/8572 (20130101)+G01N 2500/10 (20130101)+A01K 2267/0331 (20130101)+A01K 2217/05 (20130101)+A01K 2217/052 (20130101)+A01K 2217/054 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+C12Y 301/03048 (20130101)+C07K 14/70503 (20130101)+C12N 15/902 (20130101)+A01K 2207/15 (20130101)+A01K 2217/072 (20130101)+A01K 2267/0381 (20130101)+A01K 2267/0387 (20130101)+C07K 2319/00 (20130101)+C12N 2800/30 (20130101)+A01K 2207/12 (20130101)+C12N 2015/8527 (20130101)+A01K 2227/10 (20130101)+C07K 2317/31 (20130101)+C12N 2015/8518 (20130101),2.0,6.0,2.0,2016,9,2016-09,3
6330915,9708635,2017-07-18,2012-12-19,C12P 21/00 (20130101)+A01K 67/0275 (20130101)+A01K 67/0278 (20130101)+C07K 16/00 (20130101)+C07K 16/28 (20130101)+C07K 16/462 (20130101)+C12N 15/67 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/902 (20130101)+C12N 15/907 (20130101)+A01K 2207/15 (20130101)+A01K 2217/05 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+C07K 2317/10 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/51 (20130101)+C07K 2317/515 (20130101)+C07K 2317/56 (20130101)+C12N 2800/204 (20130101),7.0,51.0,1.0,2012,12,2012-12,4
6332016,9708629,2017-07-18,2014-06-03,C12N 15/907 (20130101)+C07K 14/47 (20130101)+A01K 67/0275 (20130101)+A01K 2217/072 (20130101)+A01K 2227/105 (20130101)+A01K 2267/02 (20130101)+A01K 2267/0306 (20130101),2.0,1.0,,2014,6,2014-06,2
6347777,9719109,2017-08-01,2016-07-21,C12N 15/907 (20130101)+C12N 9/1241 (20130101)+C12N 9/12 (20130101)+C12N 15/52 (20130101)+C12N 15/85 (20130101)+C12N 15/902 (20130101)+C12Y 207/07 (20130101)+C12N 2320/33 (20130101),2.0,3.0,1.0,2016,7,2016-07,3
6354809,9725714,2017-08-08,2016-05-19,C12N 15/11 (20130101)+A61K 38/465 (20130101)+A61K 47/6455 (20170801)+C12N 9/22 (20130101)+C12N 15/102 (20130101)+C12N 15/52 (20130101)+C12N 15/85 (20130101)+C12N 15/90 (20130101)+C12N 15/902 (20130101)+C12N 15/907 (20130101)+C12Q 1/68 (20130101)+C12Q 1/6806 (20130101)+C12Q 1/686 (20130101)+C12Q 1/6818 (20130101)+C12Q 1/6869 (20130101)+C12Q 1/6874 (20130101)+C12N 15/113 (20130101)+C12N 2310/20 (20170501)+C12N 2310/531 (20130101)+C12N 2310/533 (20130101)+C12N 2800/80 (20130101),6.0,121.0,7.0,2016,5,2016-05,2
6364418,9738908,2017-08-22,2014-03-17,C12N 15/907 (20130101)+C12N 9/22 (20130101)+C12N 15/102 (20130101)+C12N 15/11 (20130101)+C12N 15/85 (20130101)+C12N 2800/22 (20130101),1.0,40.0,2.0,2014,3,2014-03,1
6368472,9738687,2017-08-22,2016-04-08,C12N 15/907 (20130101)+C07K 14/001 (20130101)+C07K 14/00 (20130101)+C12N 2501/60 (20130101)+C07K 2319/01 (20130101)+C07K 2319/10 (20130101)+C07K 2319/21 (20130101)+C12N 2501/998 (20130101),3.0,,2.0,2016,4,2016-04,2
