,patent_id,Grant-date,Appli-date,CPC,Inventor,Cited,Citing,year,month,month_year,Qt
1836239,5625126,1997-04-29,1994-12-07,A01K 67/0275 (20130101)+A01K 67/0276 (20130101)+A01K 67/0278 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C07K 16/4291 (20130101)+C07K 16/44 (20130101)+C12N 5/163 (20130101)+C12N 15/00 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+A01K 2217/05 (20130101)+A01K 2217/072 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+A61K 38/00 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101)+C07K 2317/52 (20130101),2.0,3.0,899.0,1994,12,1994-12,4
1839047,5627059,1997-05-06,1995-06-05,C07K 14/47 (20130101)+C07K 14/50 (20130101)+C07K 14/755 (20130101)+C12N 9/1077 (20130101)+C12N 15/8209 (20130101)+C12N 15/8213 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101)+A61K 48/00 (20130101),2.0,1.0,117.0,1995,6,1995-06,2
1841385,5629159,1997-05-13,1995-06-07,A61K 38/162 (20130101)+C12N 15/86 (20130101)+C12N 15/907 (20130101)+A61K 48/00 (20130101)+C12N 2740/10043 (20130101)+C12N 2740/13043 (20130101)+C12N 2800/30 (20130101)+C12N 2840/20 (20130101)+C12N 2840/203 (20130101),1.0,2.0,19.0,1995,6,1995-06,2
1843337,5631153,1997-05-20,1995-06-05,C07K 14/47 (20130101)+C07K 14/50 (20130101)+C07K 14/755 (20130101)+C12N 9/1077 (20130101)+C12N 15/8209 (20130101)+C12N 15/8213 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101)+A61K 48/00 (20130101),2.0,1.0,85.0,1995,6,1995-06,2
1844466,5633425,1997-05-27,1992-02-05,A01K 67/0276 (20130101)+A01K 67/0278 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C07K 16/44 (20130101)+C12N 15/00 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/907 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+A01K 2217/05 (20130101)+A01K 2217/072 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101)+C07K 2317/52 (20130101),2.0,,935.0,1992,2,1992-02,1
1853859,5641670,1997-06-24,1994-05-13,A61K 48/00 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/67 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101)+A61K 38/00 (20130101)+C07K 2319/00 (20130101)+C07K 2319/02 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/00 (20130101)+C12N 2830/002 (20130101)+C12N 2830/42 (20130101)+C12N 2830/55 (20130101)+C12N 2830/702 (20130101)+C12N 2830/85 (20130101)+C12N 2840/20 (20130101)+C12N 2840/44 (20130101),3.0,3.0,133.0,1994,5,1994-05,2
1868482,5654182,1997-08-05,1995-06-07,C12N 15/52 (20130101)+C12N 15/85 (20130101)+C12N 15/90 (20130101)+C12N 9/00 (20130101)+C12N 15/907 (20130101)+C12N 2800/30 (20130101)+A61K 38/00 (20130101)+A61K 48/00 (20130101),2.0,2.0,92.0,1995,6,1995-06,2
1893962,5677177,1997-10-14,1995-06-07,C12N 15/52 (20130101)+C12N 15/85 (20130101)+C12N 15/90 (20130101)+C12N 9/00 (20130101)+C12N 15/907 (20130101)+C12N 2800/30 (20130101)+A61K 38/00 (20130101)+A61K 48/00 (20130101),2.0,2.0,116.0,1995,6,1995-06,2
1943357,5721367,1998-02-24,1995-06-05,A01K 67/0275 (20130101)+C07K 14/765 (20130101)+C07K 14/79 (20130101)+C07K 16/00 (20130101)+C12N 15/87 (20130101)+C12N 15/907 (20130101)+C12N 15/85 (20130101)+A01K 2217/05 (20130101)+C12N 2830/85 (20130101)+C12N 2800/206 (20130101)+C12N 2830/00 (20130101),5.0,,168.0,1995,6,1995-06,2
1954374,5731178,1998-03-24,1995-05-26,C12N 15/907 (20130101)+C12N 15/67 (20130101),2.0,,13.0,1995,5,1995-05,2
1957349,5733761,1998-03-31,1995-05-26,A61K 48/00 (20130101)+A61K 48/0066 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/67 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101)+C12N 2840/44 (20130101)+A61K 38/00 (20130101)+C07K 2319/00 (20130101)+C07K 2319/02 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/00 (20130101)+C12N 2830/002 (20130101)+C12N 2830/42 (20130101)+C12N 2830/55 (20130101)+C12N 2830/702 (20130101)+C12N 2830/85 (20130101)+C12N 2840/20 (20130101)+A61K 35/12 (20130101),3.0,3.0,80.0,1995,5,1995-05,2
1983082,5756325,1998-05-26,1996-09-09,A01K 67/0275 (20130101)+C12N 15/907 (20130101)+C07K 14/82 (20130101)+C12N 15/80 (20130101)+C07H 21/00 (20130101)+A01K 2217/05 (20130101),1.0,6.0,45.0,1996,9,1996-09,3
1995910,5770429,1998-06-23,1995-10-10,A01K 67/0276 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C12N 5/163 (20130101)+C12N 15/00 (20130101)+C12N 15/113 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101)+A01K 67/0278 (20130101)+C07K 2317/52 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+A01K 2217/072 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+A01K 2267/0368 (20130101)+A61K 38/00 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C07K 2317/92 (20130101)+C07K 2319/00 (20130101)+C12N 2310/111 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101),2.0,14.0,508.0,1995,10,1995-10,4
2042137,5814318,1998-09-29,1993-07-22,A01K 67/0275 (20130101)+A01K 67/0278 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C07K 16/4291 (20130101)+C07K 16/44 (20130101)+C07K 16/462 (20130101)+C12N 5/163 (20130101)+C12N 15/00 (20130101)+C12N 15/113 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101)+A01K 67/0276 (20130101)+C07K 2317/52 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+A01K 2217/05 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+A61K 38/00 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C07K 2319/00 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101),2.0,5.0,367.0,1993,7,1993-07,3
2061755,5830698,1998-11-03,1997-03-14,A61K 48/0008 (20130101)+C07K 14/70521 (20130101)+C07K 16/2851 (20130101)+C07K 16/2887 (20130101)+C07K 16/2896 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+C12N 2840/44 (20130101)+C12N 2800/108 (20130101)+C12N 2840/20 (20130101)+C07K 2319/02 (20130101),3.0,,37.0,1997,3,1997-03,1
2099083,5863794,1999-01-26,1997-12-31,C12N 15/86 (20130101)+C12N 15/907 (20130101)+C12N 2710/22043 (20130101),1.0,,1.0,1997,12,1997-12,4
2107902,5871984,1999-02-16,1997-12-02,A01K 67/0275 (20130101)+C12N 15/907 (20130101)+C07K 14/82 (20130101)+C12N 15/80 (20130101)+C07H 21/00 (20130101)+A01K 2217/05 (20130101),1.0,6.0,22.0,1997,12,1997-12,4
2109549,5874299,1999-02-23,1997-02-14,A01K 67/0276 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C07K 16/4291 (20130101)+C07K 16/44 (20130101)+C12N 5/163 (20130101)+C12N 15/00 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/907 (20130101)+A01K 67/0278 (20130101)+C07K 2317/52 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+A01K 2217/05 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+A61K 38/00 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101),2.0,1.0,170.0,1997,2,1997-02,1
2111058,5877397,1999-03-02,1994-09-19,A01K 67/0275 (20130101)+A01K 67/0278 (20130101)+C07K 14/7051 (20130101)+C07K 16/00 (20130101)+C07K 16/2812 (20130101)+C07K 16/3007 (20130101)+C07K 16/4266 (20130101)+C07K 16/4291 (20130101)+C07K 16/44 (20130101)+C12N 5/163 (20130101)+C12N 15/00 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/87 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101)+A01K 67/0276 (20130101)+C07K 2317/52 (20130101)+A01K 2207/15 (20130101)+A01K 2217/00 (20130101)+A01K 2217/05 (20130101)+A01K 2217/075 (20130101)+A01K 2227/105 (20130101)+A01K 2267/01 (20130101)+A61K 38/00 (20130101)+C07K 2317/21 (20130101)+C07K 2317/24 (20130101)+C07K 2317/56 (20130101)+C12N 2800/206 (20130101)+C12N 2800/70 (20130101)+C12N 2830/30 (20130101)+C12N 2830/36 (20130101)+C12N 2830/85 (20130101),2.0,3.0,353.0,1994,9,1994-09,3
2121813,5885836,1999-03-23,1997-04-08,C12N 15/52 (20130101)+C12N 15/85 (20130101)+C12N 15/90 (20130101)+C12N 9/00 (20130101)+C12N 15/907 (20130101)+C12N 2800/30 (20130101)+A61K 38/00 (20130101)+A61K 48/00 (20130101),2.0,2.0,20.0,1997,4,1997-04,2
2191052,5948653,1999-09-07,1997-08-13,A61K 48/00 (20130101)+C12N 15/102 (20130101)+C12N 15/1027 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101),2.0,25.0,24.0,1997,8,1997-08,3
2211357,5968502,1999-10-19,1995-05-26,A61K 48/00 (20130101)+A61K 48/0066 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/67 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101)+C12N 2840/44 (20130101)+A61K 38/00 (20130101)+C07K 2319/00 (20130101)+C07K 2319/02 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/00 (20130101)+C12N 2830/002 (20130101)+C12N 2830/42 (20130101)+C12N 2830/55 (20130101)+C12N 2830/702 (20130101)+C12N 2830/85 (20130101)+C12N 2840/20 (20130101)+A61K 35/12 (20130101),3.0,10.0,34.0,1995,5,1995-05,2
2238249,5994127,1999-11-30,1994-11-04,A61K 47/48776 (20130101)+A61K 48/00 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/907 (20130101)+C12N 15/85 (20130101)+C07K 2319/02 (20130101)+C12N 2840/44 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/002 (20130101)+C12N 2830/85 (20130101)+C12N 2840/20 (20130101),3.0,17.0,42.0,1994,11,1994-11,4
2244907,5998144,1999-12-07,1998-02-13,A61K 48/0008 (20130101)+C07K 14/70521 (20130101)+C07K 16/2851 (20130101)+C07K 16/2887 (20130101)+C07K 16/2896 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+C12N 2840/44 (20130101)+C12N 2800/108 (20130101)+C12N 2840/20 (20130101)+C07K 2319/02 (20130101),3.0,,20.0,1998,2,1998-02,1
2257180,6010908,2000-01-04,1995-06-07,A61K 48/00 (20130101)+C07K 14/4712 (20130101)+C12N 15/88 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101),2.0,1.0,36.0,1995,6,1995-06,2
2299321,6048729,2000-04-11,1994-11-04,A01K 67/0275 (20130101)+A61K 9/0024 (20130101)+A61K 38/27 (20130101)+A61K 38/28 (20130101)+A61K 47/48776 (20130101)+A61K 48/00 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C07K 14/62 (20130101)+C07K 16/26 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+C12N 2840/44 (20130101)+C07K 2319/02 (20130101)+C12N 2510/02 (20130101)+C12N 2830/002 (20130101)+C12N 2830/85 (20130101)+A01K 2217/05 (20130101),3.0,15.0,30.0,1994,11,1994-11,4
2299340,6048524,2000-04-11,1995-05-22,A61K 47/48776 (20130101)+A61K 48/00 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/907 (20130101)+C12N 15/85 (20130101)+C07K 2319/02 (20130101)+C12N 2840/44 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/002 (20130101)+C12N 2830/85 (20130101)+C12N 2840/20 (20130101),3.0,17.0,18.0,1995,5,1995-05,2
2299341,6048724,2000-04-11,1995-05-22,A61K 47/48776 (20130101)+A61K 48/00 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/907 (20130101)+C12N 15/85 (20130101)+C07K 2319/02 (20130101)+C12N 2840/44 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/002 (20130101)+C12N 2830/85 (20130101)+C12N 2840/20 (20130101),3.0,16.0,23.0,1995,5,1995-05,2
2305569,6054288,2000-04-25,1995-05-18,A61K 47/48776 (20130101)+A61K 48/00 (20130101)+C07K 14/505 (20130101)+C07K 14/605 (20130101)+C07K 14/61 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+C12N 2830/85 (20130101)+C12N 2510/02 (20130101)+C12N 2800/108 (20130101)+C12N 2830/002 (20130101)+C07K 2319/02 (20130101),3.0,15.0,18.0,1995,5,1995-05,2
2331170,6074853,2000-06-13,1998-08-14,A61K 48/00 (20130101)+C12N 15/102 (20130101)+C12N 15/907 (20130101)+C12N 15/90 (20130101)+C12N 15/1027 (20130101),2.0,25.0,85.0,1998,8,1998-08,3
2347645,6090629,2000-07-18,1997-10-31,C12N 15/907 (20130101),1.0,3.0,6.0,1997,10,1997-10,4
2408500,6146888,2000-11-14,1995-12-29,A01K 67/0275 (20130101)+C07K 14/4702 (20130101)+C07K 14/52 (20130101)+C07K 14/70596 (20130101)+C07K 14/81 (20130101)+C12N 5/0623 (20130101)+C12N 9/12 (20130101)+C12N 15/85 (20130101)+C12N 15/8509 (20130101)+C12N 15/873 (20130101)+C12N 15/907 (20130101)+C12N 2840/44 (20130101)+A01K 2217/072 (20130101)+A01K 2227/105 (20130101)+A01K 2267/02 (20130101)+A61K 38/00 (20130101)+C12N 2506/02 (20130101)+C12N 2510/00 (20130101)+C12N 2830/00 (20130101)+C12N 2830/008 (20130101)+C12N 2830/42 (20130101)+C12N 2830/85 (20130101)+C12N 2840/203 (20130101)+A01K 2217/05 (20130101),2.0,,86.0,1995,12,1995-12,4
2412047,6150169,2000-11-21,1996-01-25,A01K 67/0275 (20130101)+C07K 14/4702 (20130101)+C07K 14/52 (20130101)+C12N 15/85 (20130101)+C12N 15/907 (20130101)+C07K 14/81 (20130101)+A01K 2217/05 (20130101)+A01K 2217/072 (20130101)+C12N 2840/44 (20130101)+C12N 2800/60 (20130101)+C12N 2830/42 (20130101)+C12N 2840/203 (20130101),3.0,,11.0,1996,1,1996-01,1
2446844,6180108,2001-01-30,1998-12-10,C12N 15/86 (20130101)+C12N 15/907 (20130101)+C12N 2710/16243 (20130101),2.0,,5.0,1998,12,1998-12,4
2469434,6200812,2001-03-13,1999-04-08,A61K 48/00 (20130101)+C12N 15/102 (20130101)+C12N 15/1027 (20130101)+C12N 15/90 (20130101)+C12N 15/907 (20130101),2.0,20.0,14.0,1999,4,1999-04,2
2471261,6204061,2001-03-20,1997-01-09,C07K 14/47 (20130101)+C07K 14/50 (20130101)+C07K 14/755 (20130101)+C12N 9/1077 (20130101)+C12N 15/8209 (20130101)+C12N 15/8213 (20130101)+C12N 15/907 (20130101)+A01K 2217/05 (20130101)+A61K 48/00 (20130101),2.0,7.0,34.0,1997,1,1997-01,1
2473580,6204062,2001-03-20,1999-08-10,C12N 15/902 (20130101)+C12N 15/907 (20130101),1.0,,1.0,1999,8,1999-08,3
2492103,6221647,2001-04-24,1999-03-04,C12N 15/907 (20130101),1.0,3.0,,1999,3,1999-03,1
